country_code,country_name,indicator_name,year,value
BIH,Bosnia and Herzegovina,Digital_Presence,2010,
BIH,Bosnia and Herzegovina,Ecom_Orders_Placing,2010,
BLR,Belarus,Exports_Digital_Service,2010,832.0
BLR,Belarus,Imports_Digital_Service,2010,683.0
BLR,Belarus,Adoption_Business_Computers,2010,
BLR,Belarus,Infrastructure_LAN,2010,
BLR,Belarus,Digital_Delivery,2010,
BLR,Belarus,Adoption_People_Compzters,2010,
BLR,Belarus,Adoption_Business_Internet,2010,
BLR,Belarus,Infrastructure_Intranet,2010,
BLR,Belarus,Ecom_Orders_Receiving,2010,
BLR,Belarus,Infrastructure_Extranet,2010,
BLR,Belarus,Digital_CustumerServices,2010,
BLR,Belarus,Adoption_Peole_Internet,2010,
BLR,Belarus,Digital_Presence,2010,
BLR,Belarus,Ecom_Orders_Placing,2010,
BLZ,Belize,Exports_Digital_Service,2010,38.0
BLZ,Belize,Imports_Digital_Service,2010,55.0
BMU,Bermuda,Exports_Digital_Service,2010,799.0
BMU,Bermuda,Imports_Digital_Service,2010,375.0
BOL,Bolivia,Exports_Digital_Service,2010,145.0
BOL,Bolivia,Imports_Digital_Service,2010,362.0
BOL,Bolivia,Adoption_Business_Computers,2010,
BOL,Bolivia,Infrastructure_LAN,2010,
BOL,Bolivia,Adoption_People_Compzters,2010,
BOL,Bolivia,Adoption_Business_Internet,2010,
BOL,Bolivia,Infrastructure_Intranet,2010,
BOL,Bolivia,Ecom_Orders_Receiving,2010,
BOL,Bolivia,Digital_CustumerServices,2010,
BOL,Bolivia,Adoption_Peole_Internet,2010,
BOL,Bolivia,Digital_Presence,2010,
BOL,Bolivia,Ecom_Orders_Placing,2010,
BRA,Brazil,Exports_Digital_Service,2010,12702.0
BRA,Brazil,Imports_Digital_Service,2010,28894.0
BRB,Barbados,Exports_Digital_Service,2010,127.0
BRB,Barbados,Imports_Digital_Service,2010,340.0
BRN,Brunei Darussalam,Exports_Digital_Service,2010,
BRN,Brunei Darussalam,Imports_Digital_Service,2010,
BRN,Brunei Darussalam,Adoption_Business_Computers,2010,
BRN,Brunei Darussalam,Adoption_Business_Internet,2010,38.13
BRN,Brunei Darussalam,Ecom_Orders_Receiving,2010,
BRN,Brunei Darussalam,Digital_Presence,2010,11.18
BRN,Brunei Darussalam,Ecom_Orders_Placing,2010,
BTN,Bhutan,Exports_Digital_Service,2010,3.0
BTN,Bhutan,Imports_Digital_Service,2010,16.0
BWA,Botswana,Exports_Digital_Service,2010,115.0
BWA,Botswana,Imports_Digital_Service,2010,380.0
CAF,Central African Republic,Exports_Digital_Service,2010,3.0
CAF,Central African Republic,Imports_Digital_Service,2010,37.0
CAN,Canada,Exports_Digital_Service,2010,44406.0
CAN,Canada,Imports_Digital_Service,2010,43702.0
CHE,Switzerland,Exports_Digital_Service,2010,66749.0
CHE,Switzerland,Imports_Digital_Service,2010,64175.0
CHE,Switzerland,Adoption_Business_Computers,2010,
CHE,Switzerland,Adoption_Business_Internet,2010,
CHE,Switzerland,Infrastructure_Intranet,2010,
CHE,Switzerland,Ecom_Orders_Receiving,2010,
CHE,Switzerland,Digital_Presence,2010,
CHE,Switzerland,Ecom_Orders_Placing,2010,
CHL,Chile,Exports_Digital_Service,2010,1520.0
CHL,Chile,Imports_Digital_Service,2010,5280.0
CHL,Chile,Adoption_Business_Computers,2010,
CHL,Chile,Adoption_People_Compzters,2010,
CHL,Chile,Adoption_Business_Internet,2010,
CHL,Chile,Ecom_Orders_Receiving,2010,
CHL,Chile,Digital_CustumerServices,2010,
CHL,Chile,Adoption_Peole_Internet,2010,
CHL,Chile,Digital_Presence,2010,
CHL,Chile,Ecom_Orders_Placing,2010,
CHN,China,Exports_Digital_Service,2010,56020.0
CHN,China,Imports_Digital_Service,2010,66289.0
CHN,China,Adoption_Business_Computers,2010,
CHN,China,Adoption_Business_Internet,2010,
CHN,China,Ecom_Orders_Receiving,2010,
CHN,China,Digital_Presence,2010,
CHN,China,Ecom_Orders_Placing,2010,
CIV,Cote d'Ivoire,Exports_Digital_Service,2010,424.0
CIV,Cote d'Ivoire,Imports_Digital_Service,2010,541.0
CMR,Cameroon,Exports_Digital_Service,2010,425.0
CMR,Cameroon,Imports_Digital_Service,2010,776.0
COD,"Congo, Dem. Rep.",Exports_Digital_Service,2010,127.0
COD,"Congo, Dem. Rep.",Imports_Digital_Service,2010,709.0
COG,"Congo, Rep.",Exports_Digital_Service,2010,52.0
COG,"Congo, Rep.",Imports_Digital_Service,2010,2244.0
COL,Colombia,Exports_Digital_Service,2010,1196.0
COL,Colombia,Imports_Digital_Service,2010,3568.0
COL,Colombia,Adoption_Business_Computers,2010,
COL,Colombia,Infrastructure_LAN,2010,
COL,Colombia,Digital_Delivery,2010,
COL,Colombia,Adoption_People_Compzters,2010,
COL,Colombia,Adoption_Business_Internet,2010,
COL,Colombia,Infrastructure_Intranet,2010,
COL,Colombia,Ecom_Orders_Receiving,2010,
COL,Colombia,Infrastructure_Extranet,2010,
COL,Colombia,Digital_CustumerServices,2010,
COL,Colombia,Adoption_Peole_Internet,2010,
COL,Colombia,Digital_Presence,2010,
COL,Colombia,Ecom_Orders_Placing,2010,
COM,Comoros,Exports_Digital_Service,2010,16.0
COM,Comoros,Imports_Digital_Service,2010,16.0
CPV,Cabo Verde,Exports_Digital_Service,2010,31.0
CPV,Cabo Verde,Imports_Digital_Service,2010,47.0
CRI,Costa Rica,Exports_Digital_Service,2010,1830.0
CRI,Costa Rica,Imports_Digital_Service,2010,549.0
CUB,Cuba,Imports_Digital_Service,2010,447.0
CUW,Curacao,Exports_Digital_Service,2010,
CUW,Curacao,Imports_Digital_Service,2010,
CYM,Cayman Islands,Exports_Digital_Service,2010,1000.0
CYM,Cayman Islands,Imports_Digital_Service,2010,720.0
CYP,Cyprus,Exports_Digital_Service,2010,3688.0
CYP,Cyprus,Imports_Digital_Service,2010,2137.0
CYP,Cyprus,Adoption_Business_Computers,2010,92.17
CYP,Cyprus,Infrastructure_LAN,2010,79.76
CYP,Cyprus,Adoption_People_Compzters,2010,42.12
CYP,Cyprus,Adoption_Business_Internet,2010,88.01
CYP,Cyprus,Infrastructure_Intranet,2010,20.14
CYP,Cyprus,Ecom_Orders_Receiving,2010,7.42
CYP,Cyprus,Infrastructure_Extranet,2010,8.95
CYP,Cyprus,Adoption_Peole_Internet,2010,95.33
CYP,Cyprus,Digital_Presence,2010,51.65
CYP,Cyprus,Ecom_Orders_Placing,2010,25.78
CZE,Czechia,Exports_Digital_Service,2010,6884.0
CZE,Czechia,Imports_Digital_Service,2010,7721.0
CZE,Czechia,Adoption_Business_Computers,2010,96.06
CZE,Czechia,Infrastructure_LAN,2010,64.87
CZE,Czechia,Adoption_People_Compzters,2010,39.81
CZE,Czechia,Adoption_Business_Internet,2010,94.64
CZE,Czechia,Infrastructure_Intranet,2010,29.1
CZE,Czechia,Ecom_Orders_Receiving,2010,20.56
CZE,Czechia,Infrastructure_Extranet,2010,16.06
CZE,Czechia,Adoption_Peole_Internet,2010,98.1
CZE,Czechia,Digital_Presence,2010,73.63
CZE,Czechia,Ecom_Orders_Placing,2010,36.21
DEU,Germany,Exports_Digital_Service,2010,118296.0
DEU,Germany,Imports_Digital_Service,2010,109193.0
DEU,Germany,Adoption_Business_Computers,2010,97.97
DEU,Germany,Infrastructure_LAN,2010,83.11
DEU,Germany,Adoption_People_Compzters,2010,61.42
DEU,Germany,Adoption_Business_Internet,2010,97.16
DEU,Germany,Infrastructure_Intranet,2010,40.24
DEU,Germany,Ecom_Orders_Receiving,2010,23.92
DEU,Germany,Infrastructure_Extranet,2010,21.94
DEU,Germany,Adoption_Peole_Internet,2010,98.79
DEU,Germany,Digital_Presence,2010,81.43
DEU,Germany,Ecom_Orders_Placing,2010,57.81
DJI,Djibouti,Exports_Digital_Service,2010,11.0
DJI,Djibouti,Imports_Digital_Service,2010,35.0
DMA,Dominica,Exports_Digital_Service,2010,17.0
DMA,Dominica,Imports_Digital_Service,2010,58.0
DNK,Denmark,Exports_Digital_Service,2010,12913.0
DNK,Denmark,Imports_Digital_Service,2010,13506.0
DNK,Denmark,Adoption_Business_Computers,2010,98.08
DNK,Denmark,Infrastructure_LAN,2010,85.48
DNK,Denmark,Adoption_People_Compzters,2010,
DNK,Denmark,Adoption_Business_Internet,2010,97.0
DNK,Denmark,Infrastructure_Intranet,2010,37.23
DNK,Denmark,Ecom_Orders_Receiving,2010,29.26
DNK,Denmark,Infrastructure_Extranet,2010,22.54
DNK,Denmark,Adoption_Peole_Internet,2010,98.12
DNK,Denmark,Digital_Presence,2010,87.83
DNK,Denmark,Ecom_Orders_Placing,2010,70.24
DOM,Dominican Republic,Exports_Digital_Service,2010,331.0
DOM,Dominican Republic,Imports_Digital_Service,2010,713.0
DOM,Dominican Republic,Digital_Delivery,2010,
DOM,Dominican Republic,Adoption_Business_Internet,2010,
DOM,Dominican Republic,Ecom_Orders_Receiving,2010,
DOM,Dominican Republic,Digital_CustumerServices,2010,
DOM,Dominican Republic,Digital_Presence,2010,
DOM,Dominican Republic,Ecom_Orders_Placing,2010,
DZA,Algeria,Exports_Digital_Service,2010,738.0
DZA,Algeria,Imports_Digital_Service,2010,4836.0
ECU,Ecuador,Exports_Digital_Service,2010,
ECU,Ecuador,Imports_Digital_Service,2010,611.0
ECU,Ecuador,Adoption_Business_Computers,2010,
ECU,Ecuador,Infrastructure_LAN,2010,
ECU,Ecuador,Digital_Delivery,2010,
ECU,Ecuador,Adoption_People_Compzters,2010,
ECU,Ecuador,Adoption_Business_Internet,2010,
ECU,Ecuador,Infrastructure_Intranet,2010,
ECU,Ecuador,Ecom_Orders_Receiving,2010,
ECU,Ecuador,Infrastructure_Extranet,2010,
ECU,Ecuador,Digital_CustumerServices,2010,
ECU,Ecuador,Adoption_Peole_Internet,2010,
ECU,Ecuador,Digital_Presence,2010,
ECU,Ecuador,Ecom_Orders_Placing,2010,
EGY,"Egypt, Arab Rep.",Exports_Digital_Service,2010,2120.0
EGY,"Egypt, Arab Rep.",Imports_Digital_Service,2010,4110.0
EGY,"Egypt, Arab Rep.",Adoption_Business_Computers,2010,
EGY,"Egypt, Arab Rep.",Infrastructure_LAN,2010,
EGY,"Egypt, Arab Rep.",Digital_Delivery,2010,
EGY,"Egypt, Arab Rep.",Adoption_People_Compzters,2010,
EGY,"Egypt, Arab Rep.",Adoption_Business_Internet,2010,
EGY,"Egypt, Arab Rep.",Infrastructure_Intranet,2010,
EGY,"Egypt, Arab Rep.",Ecom_Orders_Receiving,2010,
EGY,"Egypt, Arab Rep.",Infrastructure_Extranet,2010,
EGY,"Egypt, Arab Rep.",Digital_CustumerServices,2010,
EGY,"Egypt, Arab Rep.",Adoption_Peole_Internet,2010,
EGY,"Egypt, Arab Rep.",Digital_Presence,2010,
EGY,"Egypt, Arab Rep.",Ecom_Orders_Placing,2010,
ESP,Spain,Exports_Digital_Service,2010,
ESP,Spain,Imports_Digital_Service,2010,
ESP,Spain,Adoption_Business_Computers,2010,98.41
ESP,Spain,Infrastructure_LAN,2010,84.64
ESP,Spain,Adoption_People_Compzters,2010,55.02
ESP,Spain,Adoption_Business_Internet,2010,96.68
ESP,Spain,Infrastructure_Intranet,2010,25.13
ESP,Spain,Ecom_Orders_Receiving,2010,12.96
ESP,Spain,Infrastructure_Extranet,2010,16.2
ESP,Spain,Adoption_Peole_Internet,2010,98.62
ESP,Spain,Digital_Presence,2010,61.56
ESP,Spain,Ecom_Orders_Placing,2010,23.71
EST,Estonia,Exports_Digital_Service,2010,1218.0
EST,Estonia,Imports_Digital_Service,2010,953.0
EST,Estonia,Adoption_Business_Computers,2010,96.52
EST,Estonia,Infrastructure_LAN,2010,64.13
EST,Estonia,Adoption_People_Compzters,2010,46.44
EST,Estonia,Adoption_Business_Internet,2010,95.83
EST,Estonia,Infrastructure_Intranet,2010,26.01
EST,Estonia,Ecom_Orders_Receiving,2010,10.76
EST,Estonia,Infrastructure_Extranet,2010,19.3
EST,Estonia,Adoption_Peole_Internet,2010,98.61
EST,Estonia,Digital_Presence,2010,70.04
EST,Estonia,Ecom_Orders_Placing,2010,23.31
ETH,Ethiopia,Exports_Digital_Service,2010,184.0
ETH,Ethiopia,Imports_Digital_Service,2010,321.0
FIN,Finland,Exports_Digital_Service,2010,13041.0
FIN,Finland,Imports_Digital_Service,2010,16027.0
FIN,Finland,Adoption_Business_Computers,2010,99.78
FIN,Finland,Infrastructure_LAN,2010,84.85
FIN,Finland,Adoption_People_Compzters,2010,70.83
FIN,Finland,Adoption_Business_Internet,2010,99.78
FIN,Finland,Infrastructure_Intranet,2010,45.68
FIN,Finland,Ecom_Orders_Receiving,2010,18.92
FIN,Finland,Infrastructure_Extranet,2010,33.83
FIN,Finland,Adoption_Peole_Internet,2010,99.87
FIN,Finland,Digital_Presence,2010,87.32
FIN,Finland,Ecom_Orders_Placing,2010,42.53
FJI,Fiji,Exports_Digital_Service,2010,25.0
FJI,Fiji,Imports_Digital_Service,2010,80.0
FRA,France,Exports_Digital_Service,2010,95231.0
FRA,France,Imports_Digital_Service,2010,85534.0
FRO,Faroe Islands,Exports_Digital_Service,2010,35.0
FRO,Faroe Islands,Imports_Digital_Service,2010,134.0
FSM,"Micronesia, Fed. Sts.",Exports_Digital_Service,2010,4.0
FSM,"Micronesia, Fed. Sts.",Imports_Digital_Service,2010,11.0
GAB,Gabon,Exports_Digital_Service,2010,291.0
GAB,Gabon,Imports_Digital_Service,2010,641.0
GBR,United Kingdom,Exports_Digital_Service,2010,221705.0
GBR,United Kingdom,Imports_Digital_Service,2010,85736.0
GEO,Georgia,Exports_Digital_Service,2010,143.0
GEO,Georgia,Imports_Digital_Service,2010,217.0
GHA,Ghana,Exports_Digital_Service,2010,353.0
GHA,Ghana,Imports_Digital_Service,2010,635.0
GIN,Guinea,Exports_Digital_Service,2010,52.0
GIN,Guinea,Imports_Digital_Service,2010,84.0
GMB,"Gambia, The",Exports_Digital_Service,2010,13.0
GMB,"Gambia, The",Imports_Digital_Service,2010,24.0
GNB,Guinea-Bissau,Exports_Digital_Service,2010,30.0
GNB,Guinea-Bissau,Imports_Digital_Service,2010,
GNQ,Equatorial Guinea,Exports_Digital_Service,2010,13.0
GNQ,Equatorial Guinea,Imports_Digital_Service,2010,1564.0
GRC,Greece,Exports_Digital_Service,2010,2932.0
GRC,Greece,Imports_Digital_Service,2010,5371.0
GRC,Greece,Adoption_Business_Computers,2010,92.44
GRC,Greece,Infrastructure_LAN,2010,73.32
GRC,Greece,Adoption_People_Compzters,2010,40.34
GRC,Greece,Adoption_Business_Internet,2010,90.3
GRC,Greece,Infrastructure_Intranet,2010,26.69
GRC,Greece,Ecom_Orders_Receiving,2010,9.22
GRC,Greece,Infrastructure_Extranet,2010,15.68
GRC,Greece,Adoption_Peole_Internet,2010,97.21
GRC,Greece,Digital_Presence,2010,57.92
GRC,Greece,Ecom_Orders_Placing,2010,12.92
GRD,Grenada,Exports_Digital_Service,2010,31.0
GRD,Grenada,Imports_Digital_Service,2010,66.0
GTM,Guatemala,Exports_Digital_Service,2010,606.0
GTM,Guatemala,Imports_Digital_Service,2010,671.0
GUY,Guyana,Exports_Digital_Service,2010,143.0
GUY,Guyana,Imports_Digital_Service,2010,150.0
HKG,"Hong Kong SAR, China",Exports_Digital_Service,2010,27784.0
HKG,"Hong Kong SAR, China",Imports_Digital_Service,2010,16328.0
HND,Honduras,Exports_Digital_Service,2010,255.0
HND,Honduras,Imports_Digital_Service,2010,215.0
HRV,Croatia,Exports_Digital_Service,2010,1685.0
HRV,Croatia,Imports_Digital_Service,2010,1994.0
HRV,Croatia,Adoption_Business_Computers,2010,96.97
HRV,Croatia,Infrastructure_LAN,2010,73.03
HRV,Croatia,Adoption_People_Compzters,2010,44.13
HRV,Croatia,Adoption_Business_Internet,2010,95.38
HRV,Croatia,Infrastructure_Intranet,2010,29.83
HRV,Croatia,Ecom_Orders_Receiving,2010,24.42
HRV,Croatia,Infrastructure_Extranet,2010,15.7
HRV,Croatia,Adoption_Peole_Internet,2010,98.46
HRV,Croatia,Digital_Presence,2010,60.78
HRV,Croatia,Ecom_Orders_Placing,2010,32.09
HTI,Haiti,Exports_Digital_Service,2010,22.0
HTI,Haiti,Imports_Digital_Service,2010,
HUN,Hungary,Exports_Digital_Service,2010,8030.0
HUN,Hungary,Imports_Digital_Service,2010,9242.0
HUN,Hungary,Adoption_Business_Computers,2010,91.2
HUN,Hungary,Infrastructure_LAN,2010,55.45
HUN,Hungary,Adoption_People_Compzters,2010,39.29
HUN,Hungary,Adoption_Business_Internet,2010,89.54
HUN,Hungary,Infrastructure_Intranet,2010,19.35
HUN,Hungary,Ecom_Orders_Receiving,2010,8.97
HUN,Hungary,Infrastructure_Extranet,2010,12.84
HUN,Hungary,Adoption_Peole_Internet,2010,97.27
HUN,Hungary,Digital_Presence,2010,56.56
HUN,Hungary,Ecom_Orders_Placing,2010,30.05
IDN,Indonesia,Exports_Digital_Service,2010,6410.0
IDN,Indonesia,Imports_Digital_Service,2010,9521.0
IDN,Indonesia,Adoption_Business_Computers,2010,
IDN,Indonesia,Infrastructure_LAN,2010,
IDN,Indonesia,Digital_Delivery,2010,
IDN,Indonesia,Adoption_People_Compzters,2010,
IDN,Indonesia,Adoption_Business_Internet,2010,
IDN,Indonesia,Infrastructure_Intranet,2010,
IDN,Indonesia,Ecom_Orders_Receiving,2010,
IDN,Indonesia,Infrastructure_Extranet,2010,
IDN,Indonesia,Digital_CustumerServices,2010,
IDN,Indonesia,Adoption_Peole_Internet,2010,
IDN,Indonesia,Digital_Presence,2010,
IDN,Indonesia,Ecom_Orders_Placing,2010,
IND,India,Exports_Digital_Service,2010,83417.0
IND,India,Imports_Digital_Service,2010,42404.0
IND,India,Adoption_Business_Computers,2010,
IND,India,Infrastructure_LAN,2010,
IND,India,Adoption_Business_Internet,2010,
IND,India,Ecom_Orders_Receiving,2010,
IND,India,Digital_Presence,2010,
IND,India,Ecom_Orders_Placing,2010,
IRL,Ireland,Exports_Digital_Service,2010,70816.0
IRL,Ireland,Imports_Digital_Service,2010,96130.0
IRL,Ireland,Adoption_Business_Computers,2010,93.34
IRL,Ireland,Infrastructure_LAN,2010,62.26
IRL,Ireland,Adoption_People_Compzters,2010,55.93
IRL,Ireland,Adoption_Business_Internet,2010,92.23
IRL,Ireland,Infrastructure_Intranet,2010,40.85
IRL,Ireland,Ecom_Orders_Receiving,2010,20.95
IRL,Ireland,Infrastructure_Extranet,2010,19.96
IRL,Ireland,Adoption_Peole_Internet,2010,97.31
IRL,Ireland,Digital_Presence,2010,68.05
IRL,Ireland,Ecom_Orders_Placing,2010,43.7
IRN,"Iran, Islamic Rep.",Exports_Digital_Service,2010,674.0
IRN,"Iran, Islamic Rep.",Imports_Digital_Service,2010,2531.0
IRQ,Iraq,Exports_Digital_Service,2010,110.0
IRQ,Iraq,Imports_Digital_Service,2010,3043.0
ISL,Iceland,Exports_Digital_Service,2010,792.0
ISL,Iceland,Imports_Digital_Service,2010,682.0
ISL,Iceland,Adoption_Business_Computers,2010,98.15
ISL,Iceland,Infrastructure_LAN,2010,71.16
ISL,Iceland,Adoption_People_Compzters,2010,99.51
ISL,Iceland,Adoption_Business_Internet,2010,97.81
ISL,Iceland,Infrastructure_Intranet,2010,38.55
ISL,Iceland,Ecom_Orders_Receiving,2010,20.44
ISL,Iceland,Infrastructure_Extranet,2010,30.35
ISL,Iceland,Adoption_Peole_Internet,2010,99.47
ISL,Iceland,Digital_Presence,2010,77.17
ISL,Iceland,Ecom_Orders_Placing,2010,
ISR,Israel,Exports_Digital_Service,2010,14804.0
ISR,Israel,Imports_Digital_Service,2010,6620.0
ITA,Italy,Exports_Digital_Service,2010,41036.0
ITA,Italy,Imports_Digital_Service,2010,53903.0
ITA,Italy,Adoption_Business_Computers,2010,95.08
ITA,Italy,Infrastructure_LAN,2010,74.87
ITA,Italy,Adoption_People_Compzters,2010,42.59
ITA,Italy,Adoption_Business_Internet,2010,93.68
ITA,Italy,Infrastructure_Intranet,2010,24.35
ITA,Italy,Ecom_Orders_Receiving,2010,5.03
ITA,Italy,Infrastructure_Extranet,2010,17.32
ITA,Italy,Adoption_Peole_Internet,2010,97.46
ITA,Italy,Digital_Presence,2010,61.33
ITA,Italy,Ecom_Orders_Placing,2010,35.9
