gdp_per_capita,population
1412.62538438423,750503764.0
1421.79716897878,731821393.0
1409.04069884703,713090928.0
1383.72411941014,694446100.0
1463.43789056716,675950189.0
1471.43831747146,657801085.0
1472.97115180926,640058741.0
1472.69922995631,623369401.0
1479.61525980543,607123269.0
1475.73903934085,590968990.0
1457.67290748026,575202699.0
1436.27450997855,559609961.0
1449.85349970149,544737983.0
1431.21195789305,530308387.0
1841.75834617104,509398589.0
1824.95329630102,497387180.0
1796.60208538449,485920997.0
1768.31356500952,474569351.0
1829.07062009788,463365429.0
1814.688734184,452195915.0
1808.71649348956,440882906.0
1815.16869287797,429454743.0
1860.72769393488,418127845.0
1857.25875463317,406992047.0
1805.52643337702,396030207.0
1750.0258910552,385360349.0
1711.40576272057,374790143.0
1677.42793720229,364358270.0
6321.01759091735,482105978.0
6369.41320452418,471352066.0
6091.32544269033,460646603.0
5923.37350684471,453723239.0
6351.40326996305,444281315.0
6362.19976190562,435998060.0
6309.55882237984,428315886.0
6335.74627340697,419808341.0
6262.04168490023,410190679.0
6213.19485330044,400231008.0
6200.05917460349,390954281.0
6196.73883024471,381030177.0
6038.37051066657,372054934.0
5953.89088311612,363568534.0
16394.8707848282,4519904.0
15115.6283091077,4497310.0
13195.181516013,4479167.0
12447.4815923975,4459302.0
13745.4324449993,4443134.0
13729.8696430575,4407658.0
13691.8734663745,4366140.0
13879.4394084275,4341333.0
14402.4725779389,4314191.0
14514.3655264586,4286546.0
14247.7831117398,4257682.0
14138.3838872356,4228445.0
13630.0960001727,4201107.0
13604.562899963,4173335.0
16514.4404393888,100175859.0
16406.3748705233,100071871.0
15748.7346962917,100205732.0
14633.6483797066,101215763.0
15039.0854339968,101864274.0
14427.2136400191,102074201.0
13696.4865078378,102337501.0
12991.5831012396,102647939.0
12596.9475064791,102973167.0
12076.2019030548,103280478.0
11662.0190543525,103570062.0
11544.5451357668,103929494.0
11421.8179722162,104174038.0
10998.6732543831,104421447.0
3878.45590307873,3511607650.0
3751.2648671429,3470644834.0
3580.09519085706,3432026092.0
3365.39681686141,3396051187.0
3556.47650660398,3355014793.0
3516.28535725061,3314245247.0
3427.77881974115,3274060446.0
3317.06815926143,3233033717.0
3219.68827173818,3190318707.0
3126.23097443148,3146800078.0
3043.82525423964,3103677284.0
2967.59848958026,3058869436.0
2890.64966596632,3013476947.0
2796.60483926579,2967104472.0
12737.6861447227,2384479340.0
12249.7952074863,2379648196.0
11916.6591236649,2375144416.0
11233.1998729839,2369438682.0
11285.3290344998,2359771090.0
10903.061725507,2347576325.0
10468.1195299222,2333475520.0
10035.4566392464,2317076058.0
9657.52889618953,2300844269.0
9288.66786787888,2284385542.0
8930.66566384547,2267072102.0
8551.14311350086,2249081393.0
8194.57043365624,2230826576.0
7827.32592584171,2214613815.0
9665.46358474715,2137527754.0
9199.99703074238,2133560408.0
8905.88956214936,2128553744.0
8293.70107855619,2121866294.0
8220.70959573115,2112289891.0
7806.58937392474,2100698838.0
7374.82657013849,2087238522.0
6966.47429558357,2071486140.0
6589.77384002779,2056050896.0
6225.6558853226,2040383789.0
5864.64303651664,2023850158.0
5511.82854369397,2006566431.0
5168.4832165349,1989106668.0
4797.25188466663,1973602166.0
