FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,20300.0,29197.0,32531.0,32651.0,48070.0,46607.0,34384.0,35480.0,34829.0,34901.0,33164.0,37439.0,47745.0,42845.0
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B1,Proportion of businesses using computers,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,96.51,,97.72,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B10,Proportion of businesses with a local area network (LAN),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,81.23,,55.5,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B12_IDEL,Proportion of businesses using the Internet for delivering products online,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,7.22,,,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B2,Proportion of persons employed routinely using computers,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,36.01,,98.75,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B3,Proportion of businesses using the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,100.0,,94.72,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B6,Proportion of businesses with an Intranet (All activities),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,22.68,,35.97,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B7,Proportion of businesses receiving orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,12.13,,22.41,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B11,Proportion of businesses with an extranet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,1.4,,6.41,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B12_ICUST,Proportion of businesses using the Internet for providing customer services,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,13.57,,12.69,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B4,Proportion of persons employed routinely using the Internet,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,96.26,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B5,Proportion of businesses with a web presence,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,70.7,,73.13,,,,,,,,
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B8,Proportion of businesses placing orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,14.52,,23.74,,,,,,,,
A,Annual,ARG,Argentina,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,4755.0,5632.0,5650.0,5535.0,4998.0,5130.0,5357.0,6997.0,6751.0,6492.0,5729.0,6396.0,7613.0,7801.0
A,Annual,ARG,Argentina,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,5414.0,6510.0,6628.0,7103.0,7037.0,6913.0,6897.0,7756.0,7803.0,7023.0,6213.0,7412.0,8980.0,9407.0
A,Annual,ARM,Armenia,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,173.0,160.0,152.0,176.0,196.0,189.0,235.0,284.0,316.0,346.0,407.0,458.0,1007.0,1345.0
A,Annual,ARM,Armenia,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,203.0,180.0,170.0,189.0,191.0,192.0,185.0,187.0,236.0,245.0,217.0,251.0,372.0,459.0
A,Annual,ATG,Antigua and Barbuda,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,48.0,52.0,51.0,52.0,52.0,59.0,62.0,55.0,59.0,65.0,71.0,79.0,80.0,87.0
A,Annual,ATG,Antigua and Barbuda,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,195.0,199.0,192.0,191.0,172.0,209.0,241.0,234.0,236.0,261.0,168.0,186.0,246.0,267.0
A,Annual,AUS,Australia,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,11602.0,13891.0,14850.0,15276.0,15339.0,13929.0,14065.0,15531.0,16491.0,17567.0,17618.0,21103.0,20953.0,21759.0
A,Annual,AUS,Australia,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,15358.0,18385.0,19694.0,20820.0,20394.0,18888.0,17454.0,19546.0,20680.0,20917.0,21441.0,24363.0,24882.0,29370.0
A,Annual,AUS,Australia,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B3,Proportion of businesses using the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,95.44,,96.95,97.35,,,,
A,Annual,AUS,Australia,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B7,Proportion of businesses receiving orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,37.09,,41.38,49.54,,,,
A,Annual,AUS,Australia,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B5,Proportion of businesses with a web presence,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,51.12,,54.46,,,,,
A,Annual,AUS,Australia,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B8,Proportion of businesses placing orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,,,,,59.34,,62.99,68.07,,,,
A,Annual,AUT,Austria,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,17447.0,21104.0,22055.0,24767.0,26498.0,22389.0,23289.0,25744.0,29354.0,30153.0,29949.0,34820.0,35331.0,35604.0
A,Annual,AUT,Austria,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,13504.0,15733.0,16969.0,20348.0,22624.0,19928.0,21085.0,23923.0,28134.0,29411.0,29158.0,33781.0,35192.0,38561.0
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B1,Proportion of businesses using computers,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,98.17,99.03,98.93,98.77,99.23,99.38,99.59,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B10,Proportion of businesses with a local area network (LAN),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,82.67,,,,,,,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B2,Proportion of persons employed routinely using computers,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,51.13,,50.77,51.78,53.52,,,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B3,Proportion of businesses using the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,97.19,98.2,98.22,97.64,98.38,98.76,99.0,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B6,Proportion of businesses with an Intranet (All activities),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,28.63,,,,,,,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B7,Proportion of businesses receiving orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,17.75,15.04,15.58,16.41,17.47,17.92,19.43,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B11,Proportion of businesses with an extranet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,16.91,,,,,,,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B4,Proportion of persons employed routinely using the Internet,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,99.02,99.39,99.33,,,99.54,,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B5,Proportion of businesses with a web presence,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,80.19,82.87,82.01,85.7,86.35,87.46,88.11,,,,,,,
A,Annual,AUT,Austria,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B8,Proportion of businesses placing orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,51.29,59.05,58.65,60.39,67.38,68.28,65.96,,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,460.0,375.0,625.0,611.0,495.0,413.0,352.0,431.0,532.0,634.0,489.0,815.0,1110.0,1439.0
A,Annual,AZE,Azerbaijan,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,1453.0,1962.0,2503.0,2035.0,1771.0,1143.0,857.0,1444.0,1334.0,1888.0,2114.0,1714.0,3015.0,3325.0
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B1,Proportion of businesses using computers,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,63.3,66.68,67.71,68.01,,37.71,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B10,Proportion of businesses with a local area network (LAN),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,44.56,45.36,46.14,47.16,,25.84,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B12_IDEL,Proportion of businesses using the Internet for delivering products online,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,2.56,2.86,3.55,3.63,,2.01,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B2,Proportion of persons employed routinely using computers,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,19.53,20.38,21.69,24.02,,15.7,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B3,Proportion of businesses using the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,50.85,54.44,57.53,59.47,,33.09,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B6,Proportion of businesses with an Intranet (All activities),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,13.96,14.93,15.25,15.34,,7.31,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B7,Proportion of businesses receiving orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,2.38,3.27,3.48,3.85,,1.75,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B11,Proportion of businesses with an extranet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,3.31,3.48,3.73,3.81,,2.09,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B12_ICUST,Proportion of businesses using the Internet for providing customer services,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,6.64,7.21,8.49,8.99,,4.92,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B4,Proportion of persons employed routinely using the Internet,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,11.48,13.7,15.09,17.07,,10.96,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B5,Proportion of businesses with a web presence,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,11.09,12.57,13.06,13.0,,6.73,,,,,,
A,Annual,AZE,Azerbaijan,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B8,Proportion of businesses placing orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,,,2.92,3.77,3.91,4.14,,2.19,,,,,,
A,Annual,BDI,Burundi,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,4.0,8.0,8.0,21.0,21.0,14.0,9.0,10.0,12.0,13.0,19.0,25.0,25.0,29.0
A,Annual,BDI,Burundi,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,27.0,23.0,30.0,26.0,38.0,30.0,32.0,43.0,40.0,54.0,51.0,183.0,74.0,90.0
A,Annual,BEL,Belgium,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,47373.0,51689.0,53079.0,61499.0,69530.0,63903.0,64545.0,70313.0,74454.0,74627.0,75852.0,86692.0,84707.0,92739.0
A,Annual,BEL,Belgium,UNCTAD_DE_DIG_SERVTRADE_ANN_IMP,International imports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,40315.0,44578.0,47240.0,52128.0,61887.0,57893.0,57133.0,61819.0,64301.0,67130.0,71761.0,78724.0,77829.0,93203.0
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B1,Proportion of businesses using computers,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,98.55,96.86,97.93,97.88,98.1,99.97,100.0,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B10,Proportion of businesses with a local area network (LAN),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,83.01,,,,,,,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B2,Proportion of persons employed routinely using computers,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,68.17,63.29,60.6,,,62.4,63.43,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UBS_ANN_ALL_B3,Proportion of businesses using the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,97.48,95.82,96.7,96.87,97.41,98.98,99.12,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B6,Proportion of businesses with an Intranet (All activities),PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,38.28,,,,,,,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UISIC3N1_ANN_00_B7,Proportion of businesses receiving orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,29.16,27.08,23.56,21.08,24.39,26.02,25.61,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B11,Proportion of businesses with an extranet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,41.87,,,,,,,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B4,Proportion of persons employed routinely using the Internet,PT_SAL,Percentage of employees,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,98.91,98.56,98.69,,,99.25,99.57,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B5,Proportion of businesses with a web presence,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,78.47,76.6,76.01,78.26,79.15,81.04,81.0,,,,,,,
A,Annual,BEL,Belgium,UNCTAD_DE_ICT_CORE_UISIC4_ANN_00_B8,Proportion of businesses placing orders over the Internet,PT_BS,Percentage of businesses,MEAN,Mean,UNCTAD_DE,Digital Economy and Technology,0,Units,A,Normal value,PU,Public,51.91,35.84,22.86,20.87,32.17,42.99,39.89,,,,,,,
