imdb_id,type,title,director,language,country,year,released_at,runtime,imdb_rating,metascore,imdb_votes,country_group
tt5613056,movie,Piper,Alan Barillaro,,USA,2016,2016-06-17,6,8.4,,24041,usa
tt0449088,movie,Pirates of the Caribbean: At World's End,Gore Verbinski,English,USA,2007,2007-05-25,169,7.1,50.0,577465,usa
tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"English, Turkish, Greek, Mandarin, French",USA,2006,2006-07-07,151,7.3,53.0,635041,usa
tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"English, Spanish","USA, UK",2011,2011-05-20,136,6.6,45.0,465510,usa_other
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,English,USA,2003,2003-07-09,143,8.0,63.0,992127,usa
tt0114148,movie,Pocahontas,"Mike Gabriel, Eric Goldberg","English, Algonquin",USA,1995,1995-06-23,81,6.7,58.0,163209,usa
tt0143808,movie,Pocahontas II: Journey to a New World,"Tom Ellery, Bradley Raymond",English,USA,1998,1998-08-25,72,4.9,,13201,usa
tt1245104,movie,Presto,Doug Sweetland,English,USA,2008,2008-06-27,5,8.4,,21778,usa
tt1196339,movie,Princess Protection Program,Allison Liddi-Brown,English,USA,2009,2009-06-26,90,5.6,,20758,usa
tt1604171,movie,Prom,Joe Nussbaum,English,USA,2011,2011-04-29,104,5.4,50.0,14569,usa
tt4341582,movie,Queen of Katwe,Mira Nair,English,USA,2016,2016-09-30,124,7.4,73.0,14265,usa
tt0382932,movie,Ratatouille,"Brad Bird, Jan Pinkava(co-director)","English, French",USA,2007,2007-06-29,111,8.0,96.0,612483,usa
tt0485985,movie,Red Tails,Anthony Hemingway,"English, Italian, German",USA,2012,2012-01-20,125,5.9,46.0,32647,usa
tt0210945,movie,Remember the Titans,Boaz Yakin,English,USA,2000,2000-09-29,113,7.8,48.0,190945,usa
tt0089908,movie,Return to Oz,Walter Murch,English,"UK, USA",1985,1985-06-21,113,6.7,42.0,23581,usa_other
tt0070608,movie,Robin Hood,"Wolfgang Reitherman, David Hand","English, Portuguese",USA,1973,1973-11-08,83,7.6,57.0,110712,usa
tt3748528,movie,Rogue One: A Star Wars Story,Gareth Edwards,English,USA,2016,2016-12-16,133,7.8,65.0,526836,usa
tt0107985,movie,Rookie of the Year,Daniel Stern,English,USA,1993,1993-07-07,103,6.0,53.0,23711,usa
tt2140373,movie,Saving Mr. Banks,John Lee Hancock,English,"USA, UK, Australia",2013,2013-12-20,125,7.5,65.0,147182,usa_other
tt1217213,movie,Secret of the Wings,"Roberts Gannaway, Peggy Holmes",English,"USA, India, UK",2012,2012-12-14,75,7.1,,10155,usa_other
tt1028576,movie,Secretariat,Randall Wallace,English,USA,2010,2010-10-08,123,7.2,61.0,25455,usa
tt1661326,series,Shake It Up,,English,USA,2010,2010-11-07,30,4.8,,10911,usa
tt0462538,movie,The Simpsons Movie,David Silverman,English,USA,2007,2007-07-27,87,7.3,80.0,302244,usa
tt0105417,movie,Sister Act,Emile Ardolino,English,USA,1992,1992-05-29,100,6.4,51.0,83764,usa
tt0108147,movie,Sister Act 2: Back in the Habit,Bill Duke,English,USA,1993,1993-12-10,107,5.6,38.0,47046,usa
tt0053285,movie,Sleeping Beauty,"Clyde Geronimi, Les Clark, Hamilton Luske, Wolfgang Reitherman",English,USA,1959,1959-12-25,75,7.2,85.0,129694,usa
tt0281373,movie,Snow Dogs,Brian Levant,English,"Canada, USA",2002,2002-01-18,99,5.2,29.0,24563,usa_other
tt0029583,movie,Snow White and the Seven Dwarfs,"William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen",English,USA,1937,1938-02-04,83,7.6,95.0,174379,usa
tt1252374,series,Sonny with a Chance,,English,USA,2009,2009-02-08,23,6.1,,10074,usa
tt0088161,movie,Splash,Ron Howard,"English, Swedish",USA,1984,1984-03-09,111,6.2,71.0,65908,usa
tt2930604,series,Star Wars Rebels,,English,USA,2014,2014-09-26,22,8.0,,24977,usa
tt0076759,movie,Star Wars: Episode IV - A New Hope,George Lucas,English,USA,1977,1977-05-25,121,8.6,90.0,1188658,usa
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,George Lucas,English,USA,2002,2002-05-16,142,6.5,54.0,613768,usa
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,English,USA,1983,1983-05-25,131,8.3,58.0,912250,usa
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,George Lucas,English,USA,2005,2005-05-19,140,7.5,68.0,681075,usa
tt0458290,series,Star Wars: The Clone Wars,,English,USA,2008,2008-10-03,23,8.1,,47308,usa
tt1185834,movie,Star Wars: The Clone Wars,Dave Filoni,English,USA,2008,2008-08-15,98,5.9,35.0,53973,usa
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,English,USA,1980,1980-06-20,124,8.7,82.0,1109656,usa
tt2488496,movie,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,English,USA,2015,2015-12-18,138,7.9,80.0,833706,usa
tt2527336,movie,Star Wars: Episode VIII - The Last Jedi,Rian Johnson,English,USA,2017,2017-12-15,152,7.0,85.0,532835,usa
tt0120915,movie,Star Wars: Episode I - The Phantom Menace,George Lucas,English,USA,1999,1999-05-19,136,6.5,51.0,698744,usa
tt1579247,movie,StarStruck,Michael Grossman,English,USA,2010,2010-02-14,90,6.1,,12305,usa
tt0054357,movie,Swiss Family Robinson,Ken Annakin,English,USA,1960,1960-12-21,126,7.2,61.0,13189,usa
tt0098924,series,TaleSpin,,English,USA,1990,1990-09-07,30,7.6,,12743,usa
tt0398286,movie,Tangled,"Nathan Greno, Byron Howard",English,USA,2010,2010-11-24,100,7.7,71.0,390220,usa
tt0300865,series,That's So Raven,,English,USA,2003,2003-01-17,30,6.5,,16953,usa
tt0041094,movie,The Adventures of Ichabod and Mr. Toad,"James Algar, Clyde Geronimi, Jack Kinney",English,USA,1949,1950-01-06,68,7.0,74.0,11917,usa
tt0065421,movie,The Aristocats,Wolfgang Reitherman,English,USA,1970,1970-12-24,78,7.1,66.0,89029,usa
