year,is_developing,internet_usage_pct
2010,0,65.0054129032258
2010,1,16.791465517241377
2011,0,67.85720634920635
2011,1,19.415602758620686
2012,0,71.09140967741936
2012,1,22.113163859649124
2013,0,73.71239354838708
2013,1,24.440425811965813
2014,0,75.9391765625
2014,1,27.605910948275863
2015,0,77.90606307692308
2015,1,30.828766347826086
2016,0,80.62698125
2016,1,34.673499396551726
2017,0,82.47455692307692
2017,1,39.05977061403508
2018,0,84.28778448275862
2018,1,43.47032371428572
2019,0,85.77621
2019,1,46.5431662037037
2020,0,88.09509137931035
2020,1,51.60147774774775
2021,0,90.46076727272727
2021,1,57.82163333333333
2022,0,91.12305535714286
2022,1,60.617321000000004
2023,0,91.80553653846154
2023,1,68.90428676470589
